7690843, 271158877, 0.7862605/0.7862674, 0.0000007, 54954.158345, 0.030087, , ciclica, ok
7740302, 158276780, 1.1535089/1.1535086, 0.0000013, 54953.656746, 0.063563, , sem variacao, ok
7765894, 271967202, 3.2045420/3.2044901, 0.0000056, 54956.979904, 0.162160, , ciclica, ok
7766185, 272176884, 0.8354573/0.8354577, 0.0000008, 54954.554702, 0.041523, , ciclica, ok
7777443, 268297677, 0.8851249/0.8851234, 0.0000009, 54954.257271, 0.034449, , crescente, ok
7816201, 159105713, 0.5749570/0.5749584, 0.0000005, 54954.116438, 0.035859, , ciclica, ok
7830460, 271047463, 3.3977502/3.3977755, 0.0000061, 54957.418154, 0.177661, , sem variacao, ok
7884842, 159105847, 1.3145477/1.3145386, 0.0000015, 54954.893014, 0.082356, , sem variacao, ok
7885570, 159220329, 1.7293366/1.7293296, 0.0000023, 54955.158437, 0.039080, , sem variacao, ok
7887124, 159443078, 32.4864272/32.4689868, 0.0001540, 54950.479755, 1.012765, fluxo constante, sem variacao, ok
7897952, 270951922, 66.9916393/66.9813387, 0.0004415, 54982.830888, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
7938870, 123416563, 0.5807261/0.5807263, 0.0000005, 54953.693993, 0.023731, , ciclica, ok
7950962, 158726046, 0.8269566/0.8269574, 0.0000008, 54953.819202, 0.051406, , ciclica, ok
7975824, 272717401, 0.4037503/0.4037514, 0.0000003, 55000.053919, 0.006815, , sem variacao, ok
7976783, 273036521, 1.2088516/1.2088535, 0.0000014, 54954.260728, 0.070904, , sem variacao, ok
8027591, 159719826, 24.2744321/24.2751174, 0.0001029, 54994.397704, -1, , sem variacao, ok
8043961, 272609309, 1.5592121/1.5592118, 0.0000020, 54954.555903, 0.042481, , ciclica, ok
8045121, 272941454, 0.2631774/0.2631783, 0.0000001, 54953.761215, 0.014854, , ciclica, ok
8098728, 63125816, 24.4850000/24.4998857, 0.0001029, 55068.427936, 0.286441, fluxo constante, sem variacao, ok
8189196, 268302473, 2.3041380/2.3041655, 0.0000035, 55006.353323, 0.123749, , ciclica, ok
8231231, 159578658, 0.7116099/0.7116145, 0.0000006, 54954.089687, 0.040066, , ciclica, ok
8262223, 239291500, 1.6130147/1.6130146, 0.0000021, 54955.070513, 0.025804, , sem variacao, ok
8285349, 352012002, 0.6671103/0.6671143, 0.0000006, 54953.778822, 0.034518, , ciclica, ok
8382182, 273038330, 1.2587141/1.2587148, 0.0000015, 54965.480967, 0.061939, , sem variacao, ok
8386865, 274024023, 1.2580412/1.2580398, 0.0000014, 54953.926763, 0.066955, , ciclica, ok
8386982, 274127085, 72.2595896/72.2532193, 0.0004710, 54980.276256, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
8397460, 185286922, 1.4189566/1.4189466, 0.0000017, 54954.900654, 0.089928, , ciclica, ok
8523194, 239290461, 0.8785327/0.8785329, 0.0000009, 54954.223740, 0.049353, , sem variacao, ok
8545456, 164883253, 0.3152045/0.3152055, 0.0000002, 54953.665175/120.684175, 0.017205, , sem variacao, ok
